R1	R2	R3	R4
0.0032257227456959	0.02908	0.0235747596	0.0241412
0.00368586084244574	0.02378	0.0129741654	0.017936
0.000398813572783738	0.02408	0.0116742692	0.012418
0.0236245683741531	0.01656	0.0104992264	0.010382
0.0109565237310828	0.00334	0.0029531376	0.013186
0.00217215084113395	0.01182	0.00374888	0.00744400000000001
0.0317817215564194	0.02398	0.021490477	0.02186
0.0382154826136631	0.03834	0.0372268198	0.022092
0.00219344012868944	0.01524	0.0172569456	0.019062
0.0104865438012097	0.03712	0.0372364494	0.02308
0.0225308685971341	0.000739999999999994	0.000246862399999994	0.01391
0.0122974047264021	0.00194	0.0016468624	0.012052
0.0112523063990046	0.00798	0.0018468624	0.007828
0.010136928202052	0.02046	0.01656153	0.01513
0.00841726793079129	0.0042	0.0036468624	0.006726
0.000530478541409556	0.00136	0.0038468624	0.013406
0.0344022701463848	0.00448	0.0042468624	0.003756
0.0154215229086444	0.03878	0.0377700992	0.037082
0.00494986727441975	0.02992	0.0258054948	0.019448
0.0108116758892486	0.01964	0.0169350552	0.00932
0.0073681518154826	0.01864	0.0168265004	0.00928999999999999
0.0251179247249275	0.03722	0.0379747626	0.035058
0.0286299257216243	0.000759999999999996	0.0090468624	0.00405600000000001
0.0256972936254765	0.0123	0.0055237938	0.007318
0.0424856556905951	0.00492	0.000172771599999999	0.000149999999999997
0.0091424481231716	0.00494	0.0100468624	0.007878
0.0347550279629425	0.00798	0.00132612300000001	0.002802
0.00442293494474933	0.01582	0.0111361632	0.009816
0.0304521297980904	0.01018	0.0027190158	0.006806
0.0057575082579669	0.02396	0.0153567228	0.004684
0.00881212386001441	0.00524	0.0114468624	0.000596000000000005
0.0139668828447902	0.01154	0.005184118	0.004002
0.00330042806722331	0.0155	0.0147680006	0.018308
0.0284401130645469	0.01892	0.011098836	0.00401
0.00259358784557078	0.0077	0.0024591858	0.001242
0.0038636436916635	0.02458	0.0268948538	0.014908
0.028518475123751	0.01954	0.0142468624	0.011138
0.00793378152906365	0.00876	0.0036374214	0.005442
0.0345647678334365	0.00146	0.002516756	0.000607999999999995
0.0107555976727877	0.00332	0.0156468624	0.001592
0.0261319473994194	0.01504	0.0108926054	0.002774
0.000663374193782431	0.0055	0.0083133744	0.006542
0.0201879001509346	0.0021	0.0151274104	0.007648
0.000143008286321846	0.01502	0.0089465054	0.00223400000000001
0.00472176924003259	0.0059	0.0028777888	0.003252
0.00812197991556657	0.00436	0.000156337799999999	0.010316
0.0017462318929088	0.01036	0.003265337	0.025684
0.00106663422319405	0.000199999999999996	0.0020324038	0.000271999999999997
0.00106186941091694	0.00398000000000001	0.007084617	0.00512000000000001
0.0316570665573625	0.01668	0.0236468624	0.017734
0.00298657708791997	0.000979999999999999	0.004884136	0.001216
